nome,url,Total de pullRequests,Data de Atualizacao,Total de releases,Total de issues abertas,Total de issues fechadas
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,12514,2020-03-06T02:49:03Z,0,14223,14059
996icu/996.ICU,https://github.com/996icu/996.ICU,1020,2020-03-06T02:42:52Z,0,0,0
vuejs/vue,https://github.com/vuejs/vue,949,2020-03-06T02:45:40Z,208,8833,8538
facebook/react,https://github.com/facebook/react,6410,2020-03-06T02:49:16Z,89,8858,8392
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,9261,2020-03-06T02:48:17Z,99,23460,20281
twbs/bootstrap,https://github.com/twbs/bootstrap,5492,2020-03-06T02:31:16Z,57,19119,18788
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,2508,2020-03-06T02:48:10Z,0,413,393
sindresorhus/awesome,https://github.com/sindresorhus/awesome,462,2020-03-06T02:40:50Z,0,242,231
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,342,2020-03-06T01:50:32Z,0,821,748
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,2203,2020-03-06T02:50:01Z,0,3220,3015
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,165,2020-03-06T02:50:52Z,0,104,78
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,26,2020-03-06T02:46:35Z,3,399,390
github/gitignore,https://github.com/github/gitignore,1375,2020-03-06T02:18:36Z,0,0,0
airbnb/javascript,https://github.com/airbnb/javascript,722,2020-03-06T02:27:48Z,0,959,881
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,355,2020-03-06T02:25:22Z,0,378,360
microsoft/vscode,https://github.com/microsoft/vscode,4824,2020-03-06T02:03:07Z,3,84144,79564
d3/d3,https://github.com/d3/d3,433,2020-03-06T02:47:01Z,153,2030,2027
flutter/flutter,https://github.com/flutter/flutter,13724,2020-03-06T02:48:47Z,0,33161,25801
torvalds/linux,https://github.com/torvalds/linux,9,2020-03-06T02:42:30Z,0,0,0
facebook/react-native,https://github.com/facebook/react-native,610,2020-03-06T02:15:48Z,138,18870,18209
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,151,2020-03-06T02:52:12Z,0,110,30
electron/electron,https://github.com/electron/electron,8512,2020-03-06T02:49:35Z,528,12505,11388
vinta/awesome-python,https://github.com/vinta/awesome-python,453,2020-03-06T01:54:22Z,0,162,160
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,12,2020-03-06T02:47:40Z,0,291,55
facebook/create-react-app,https://github.com/facebook/create-react-app,1709,2020-03-06T02:27:50Z,73,5509,5083
public-apis/public-apis,https://github.com/public-apis/public-apis,771,2020-03-06T02:19:53Z,0,122,119
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,248,2020-03-06T02:47:30Z,0,306,281
axios/axios,https://github.com/axios/axios,302,2020-03-06T02:38:57Z,22,2158,1898
golang/go,https://github.com/golang/go,0,2020-03-06T02:48:55Z,0,36517,31092
